gene_name,pair,source,flank_hit_class
1700001O22Rik_Heart_Any,chr2:30705590-30714283_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Heart_E11.5,chr2:30639004-30640982_chr2:30684123-30688346,enhancer_hit,single
1700001O22Rik_Heart_E11.5,chr2:30639004-30640982_chr2:30705590-30714283,enhancer_hit,single
1700001O22Rik_Heart_E11.5,chr2:30684123-30688346_chr2:30701978-30703524,enhancer_hit,single
1700001O22Rik_Heart_E11.5,chr2:30701978-30703524_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Heart_E11.5,chr2:30705590-30714283_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Limb_Any,chr2:30639004-30640982_chr2:30684123-30688346,enhancer_hit,single
1700001O22Rik_Limb_Any,chr2:30639004-30640982_chr2:30705590-30714283,enhancer_hit,single
1700001O22Rik_Limb_Any,chr2:30705590-30714283_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Limb_E11.5,chr2:30639004-30640982_chr2:30684123-30688346,enhancer_hit,single
1700001O22Rik_Limb_E11.5,chr2:30639004-30640982_chr2:30705590-30714283,enhancer_hit,single
1700001O22Rik_Limb_E11.5,chr2:30705590-30714283_chr2:30782681-30788120,enhancer_hit,single
1700007L15Rik_Heart_Any,chr16:33750737-33754195_chr16:33761073-33763243,enhancer_hit,double
1700030J22Rik_Forebrain_Any,chr8:117428132-117429143_chr8:117469401-117471428,enhancer_hit,single
1700113A16Rik_Heart_Any,chr3:88628218-88632624_chr3:89053752-89054752,enhancer_hit,double
1810019D21Rik_Heart_Any,chr8:105532332-105535008_chr8:105792539-105802741,enhancer_hit,single
1810019D21Rik_Heart_E11.5,chr8:105532332-105535008_chr8:105792539-105802741,enhancer_hit,single
2010107E04Rik_Forebrain_Any,chr12:111433446-111439968_chr12:113142735-113149366,enhancer_hit,single
2010107E04Rik_Heart_Any,chr12:111433446-111439968_chr12:112559024-112560024,enhancer_hit,single
2010107E04Rik_Heart_Any,chr12:111433446-111439968_chr12:113142735-113149366,enhancer_hit,single
2010107E04Rik_Heart_E11.5,chr12:111433446-111439968_chr12:113142735-113149366,enhancer_hit,single
2010111I01Rik_Forebrain_Any,chr13:63237717-63248094_chr13:63248723-63262773,enhancer_hit,
2010111I01Rik_Forebrain_Any,chr13:63248723-63262773_chr13:63271722-63282463,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63037615-63040270_chr13:63150216-63151996,enhancer_hit,single
2010111I01Rik_Heart_Any,chr13:63037615-63040270_chr13:63268166-63271119,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63071492-63075024_chr13:63237717-63248094,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63071492-63075024_chr13:63248723-63262773,enhancer_hit,single
2010111I01Rik_Heart_Any,chr13:63071492-63075024_chr13:63715933-63721808,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63071492-63075024_chr13:63939531-63942036,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63109743-63115662_chr13:63939531-63942036,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63150216-63151996_chr13:63641098-63644426,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63153230-63156455_chr13:63268166-63271119,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63186174-63189130_chr13:63715933-63721808,enhancer_hit,single
2010111I01Rik_Heart_Any,chr13:63230085-63233253_chr13:63641098-63644426,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63237717-63248094_chr13:63248723-63262773,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63237717-63248094_chr13:63939531-63942036,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63248723-63262773_chr13:63268166-63271119,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63248723-63262773_chr13:63271722-63282463,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63248723-63262773_chr13:63322831-63326093,enhancer_hit,single
2010111I01Rik_Heart_Any,chr13:63248723-63262773_chr13:63715933-63721808,enhancer_hit,single
2010111I01Rik_Heart_Any,chr13:63248723-63262773_chr13:63939531-63942036,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63641098-63644426_chr13:63715933-63721808,enhancer_hit,
2010111I01Rik_Heart_Any,chr13:63715933-63721808_chr13:63939531-63942036,enhancer_hit,
2010111I01Rik_Heart_E11.5,chr13:63150216-63151996_chr13:63641098-63644426,enhancer_hit,
2010111I01Rik_Heart_E11.5,chr13:63230085-63233253_chr13:63641098-63644426,enhancer_hit,
2010111I01Rik_Heart_E11.5,chr13:63237717-63248094_chr13:63248723-63262773,enhancer_hit,
2010111I01Rik_Heart_E11.5,chr13:63248723-63262773_chr13:63271722-63282463,enhancer_hit,
2010111I01Rik_Heart_E11.5,chr13:63248723-63262773_chr13:63322831-63326093,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:62919747-62920747_chr13:63248723-63262773,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:62919747-62920747_chr13:63292961-63294647,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:62919747-62920747_chr13:63715933-63721808,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:63037615-63040270_chr13:63268166-63271119,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63071492-63075024_chr13:63237717-63248094,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63071492-63075024_chr13:63248723-63262773,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:63071492-63075024_chr13:63287574-63289639,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63071492-63075024_chr13:63715933-63721808,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63153230-63156455_chr13:63268166-63271119,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63186174-63189130_chr13:63715933-63721808,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:63237717-63248094_chr13:63248723-63262773,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63248723-63262773_chr13:63268166-63271119,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63248723-63262773_chr13:63271722-63282463,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63248723-63262773_chr13:63287574-63289639,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:63248723-63262773_chr13:63322831-63326093,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:63248723-63262773_chr13:63715933-63721808,enhancer_hit,single
2010111I01Rik_Limb_Any,chr13:63322831-63326093_chr13:63700016-63702811,enhancer_hit,
2010111I01Rik_Limb_Any,chr13:63641098-63644426_chr13:63715933-63721808,enhancer_hit,
2010111I01Rik_Limb_E11.5,chr13:63237717-63248094_chr13:63248723-63262773,enhancer_hit,
2010111I01Rik_Limb_E11.5,chr13:63248723-63262773_chr13:63268166-63271119,enhancer_hit,
2010111I01Rik_Limb_E11.5,chr13:63248723-63262773_chr13:63271722-63282463,enhancer_hit,
2010111I01Rik_Limb_E11.5,chr13:63248723-63262773_chr13:63287574-63289639,enhancer_hit,single
2010111I01Rik_Limb_E11.5,chr13:63248723-63262773_chr13:63322831-63326093,enhancer_hit,single
2010111I01Rik_Limb_E11.5,chr13:63322831-63326093_chr13:63700016-63702811,enhancer_hit,
2310001H17Rik_Heart_Any,chr6:129211638-129217967_chr6:129228408-129231474,enhancer_hit,
2310001H17Rik_Heart_Any,chr6:129211638-129217967_chr6:129236474-129238961,enhancer_hit,
2310067B10Rik_Heart_Any,chr11:115673653-115675052_chr11:115737599-115739518,enhancer_hit,double
2500004C02Rik_Heart_Any,chr2:152924636-152930708_chr2:154396034-154397346,enhancer_hit,single
2500004C02Rik_Heart_Any,chr2:152924636-152930708_chr2:154438994-154440929,enhancer_hit,
2500004C02Rik_Heart_Any,chr2:154396034-154397346_chr2:154438994-154440929,enhancer_hit,double
2610035F20Rik_Forebrain_Any,chr14:122459620-122463177_chr14:122477934-122487928,enhancer_hit,single
2610035F20Rik_Forebrain_E11.5,chr14:122459620-122463177_chr14:122477934-122487928,enhancer_hit,single
2610035F20Rik_Limb_Any,chr14:122459620-122463177_chr14:122477934-122487928,enhancer_hit,single
2610035F20Rik_Limb_E11.5,chr14:122459620-122463177_chr14:122477934-122487928,enhancer_hit,single
2700081O15Rik_Forebrain_Any,chr19:7082330-7085552_chr19:7138385-7144263,enhancer_hit,
2700081O15Rik_Forebrain_E11.5,chr19:7082330-7085552_chr19:7138385-7144263,enhancer_hit,
2810025M15Rik_Forebrain_Any,chr1:157415290-157418838_chr1:157442501-157445263,enhancer_hit,single
2810025M15Rik_Forebrain_Any,chr1:157415290-157418838_chr1:157447949-157451231,enhancer_hit,single
2810025M15Rik_Forebrain_Any,chr1:157442501-157445263_chr1:157447949-157451231,enhancer_hit,single
2810025M15Rik_Forebrain_E11.5,chr1:157415290-157418838_chr1:157442501-157445263,enhancer_hit,single
2810025M15Rik_Forebrain_E11.5,chr1:157415290-157418838_chr1:157447949-157451231,enhancer_hit,single
2810025M15Rik_Forebrain_E11.5,chr1:157442501-157445263_chr1:157447949-157451231,enhancer_hit,single
2810025M15Rik_Heart_Any,chr1:157415290-157418838_chr1:157442501-157445263,enhancer_hit,single
2810025M15Rik_Heart_Any,chr1:157415290-157418838_chr1:157447949-157451231,enhancer_hit,single
2810025M15Rik_Heart_Any,chr1:157442501-157445263_chr1:157447949-157451231,enhancer_hit,single
2810025M15Rik_Heart_E11.5,chr1:157442501-157445263_chr1:157447949-157451231,enhancer_hit,single
4631405J19Rik_Heart_Any,chr2:93018049-93019594_chr2:93039171-93042339,enhancer_hit,single
4631405J19Rik_Heart_Any,chr2:93030455-93033967_chr2:93039171-93042339,enhancer_hit,
4930513N10Rik_Heart_Any,chr8:95341302-95342788_chr8:95594604-95598538,enhancer_hit,
4930513N10Rik_Heart_Any,chr8:95341302-95342788_chr8:95606718-95608073,enhancer_hit,single
4930513N10Rik_Heart_Any,chr8:95391121-95397589_chr8:95586584-95588682,enhancer_hit,single
4930513N10Rik_Heart_Any,chr8:95391121-95397589_chr8:95594604-95598538,enhancer_hit,single
4930513N10Rik_Heart_Any,chr8:95586584-95588682_chr8:95594604-95598538,enhancer_hit,single
4930513N10Rik_Heart_Any,chr8:95594604-95598538_chr8:95606718-95608073,enhancer_hit,single
4930513N10Rik_Heart_E11.5,chr8:95391121-95397589_chr8:95594604-95598538,enhancer_hit,single
4930513N10Rik_Heart_E11.5,chr8:95594604-95598538_chr8:95606718-95608073,enhancer_hit,single
4930578M01Rik_Forebrain_Any,chr15:98976414-98980757_chr15:98988464-98994602,enhancer_hit,single
4930578M01Rik_Forebrain_Any,chr15:98976414-98980757_chr15:99806230-99808082,enhancer_hit,single
4930578M01Rik_Forebrain_Any,chr15:98988464-98994602_chr15:99806230-99808082,enhancer_hit,single
4930578M01Rik_Forebrain_E11.5,chr15:98976414-98980757_chr15:98988464-98994602,enhancer_hit,single
4930578M01Rik_Forebrain_E11.5,chr15:98976414-98980757_chr15:99806230-99808082,enhancer_hit,single
4930578M01Rik_Forebrain_E11.5,chr15:98988464-98994602_chr15:99806230-99808082,enhancer_hit,single
4930578M01Rik_Heart_Any,chr15:98976414-98980757_chr15:98988464-98994602,enhancer_hit,single
4930578M01Rik_Heart_Any,chr15:98976414-98980757_chr15:99806230-99808082,enhancer_hit,single
4930578M01Rik_Heart_Any,chr15:98988464-98994602_chr15:99806230-99808082,enhancer_hit,single
4930578M01Rik_Heart_E11.5,chr15:98976414-98980757_chr15:98988464-98994602,enhancer_hit,single
4930578M01Rik_Limb_Any,chr15:98976414-98980757_chr15:98988464-98994602,enhancer_hit,single
5031414D18Rik_Heart_Any,chr14:74656669-74658427_chr14:74844722-74849722,enhancer_hit,single
5031414D18Rik_Heart_Any,chr14:74656669-74658427_chr14:75771187-75774730,enhancer_hit,single
5031425E22Rik_Heart_Any,chr5:23409347-23420880_chr5:23428322-23429322,enhancer_hit,single
5031425E22Rik_Heart_Any,chr5:23409347-23420880_chr5:23612627-23613627,enhancer_hit,single
6030458C11Rik_Heart_Any,chr15:11724839-11727044_chr15:12732167-12733538,enhancer_hit,single
6030458C11Rik_Heart_Any,chr15:11724839-11727044_chr15:12857506-12859210,enhancer_hit,single
6030458C11Rik_Heart_Any,chr15:12732167-12733538_chr15:12857506-12859210,enhancer_hit,single
6030458C11Rik_Heart_E11.5,chr15:11724839-11727044_chr15:12857506-12859210,enhancer_hit,single
6530411M01Rik_Forebrain_Any,chr17:9577659-9582141_chr17:9721801-9728289,enhancer_hit,
6530411M01Rik_Forebrain_Any,chr17:9680418-9681418_chr17:9721801-9728289,enhancer_hit,single
6530411M01Rik_Forebrain_Any,chr17:9721801-9728289_chr17:9879251-9885826,enhancer_hit,
6530411M01Rik_Forebrain_E11.5,chr17:9577659-9582141_chr17:9721801-9728289,enhancer_hit,
6530411M01Rik_Forebrain_E11.5,chr17:9721801-9728289_chr17:9879251-9885826,enhancer_hit,
9130011E15Rik_Forebrain_Any,chr19:45915793-45917323_chr19:45920080-45921668,enhancer_hit,
9130011E15Rik_Heart_Any,chr19:45853957-45856375_chr19:45901556-45904454,enhancer_hit,double
9330158H04Rik_Heart_Any,chr6:36450222-36456379_chr6:36516085-36517772,enhancer_hit,single
9430020K01Rik_Forebrain_Any,chr18:4438524-4441638_chr18:5931078-5934028,enhancer_hit,
9430020K01Rik_Heart_Any,chr18:4438524-4441638_chr18:5701137-5702137,enhancer_hit,
9430020K01Rik_Heart_Any,chr18:4438524-4441638_chr18:5931078-5934028,enhancer_hit,
9430020K01Rik_Heart_Any,chr18:4521745-4524310_chr18:4683663-4685207,enhancer_hit,
9430020K01Rik_Heart_Any,chr18:5701137-5702137_chr18:5931078-5934028,enhancer_hit,
9430020K01Rik_Heart_E11.5,chr18:4438524-4441638_chr18:5931078-5934028,enhancer_hit,
9430020K01Rik_Limb_Any,chr18:4438524-4441638_chr18:5931078-5934028,enhancer_hit,
9530026P05Rik_Heart_Any,chr6:92845803-92847206_chr6:94169251-94171758,enhancer_hit,
9530026P05Rik_Heart_Any,chr6:92848166-92852246_chr6:94169251-94171758,enhancer_hit,
9530026P05Rik_Heart_Any,chr6:92920630-92923334_chr6:93961661-93962661,enhancer_hit,single
9530026P05Rik_Heart_Any,chr6:92920630-92923334_chr6:94169251-94171758,enhancer_hit,
9530026P05Rik_Heart_E11.5,chr6:92845803-92847206_chr6:94169251-94171758,enhancer_hit,
9530026P05Rik_Heart_E11.5,chr6:92848166-92852246_chr6:94169251-94171758,enhancer_hit,
A930012L18Rik_Heart_Any,chr18:43420982-43422845_chr18:44471578-44474233,enhancer_hit,
A930012L18Rik_Heart_Any,chr18:44497264-44502871_chr18:44596284-44598998,enhancer_hit,
AI854517_Forebrain_Any,chr7:79507763-79540108_chr7:79542029-79551357,enhancer_hit,
AI854517_Forebrain_Any,chr7:79507763-79540108_chr7:79557241-79558740,enhancer_hit,
AI854517_Forebrain_Any,chr7:79542029-79551357_chr7:79557241-79558740,enhancer_hit,single
AI854517_Forebrain_E11.5,chr7:79507763-79540108_chr7:79542029-79551357,enhancer_hit,
AI854517_Forebrain_E11.5,chr7:79507763-79540108_chr7:79557241-79558740,enhancer_hit,
AI854517_Forebrain_E11.5,chr7:79542029-79551357_chr7:79557241-79558740,enhancer_hit,single
AW554918_Heart_Any,chr18:24784191-24785993_chr18:24817224-24820528,enhancer_hit,single
AW554918_Heart_E11.5,chr18:24784191-24785993_chr18:24817224-24820528,enhancer_hit,single
Abcb8_Heart_Any,chr5:23873814-23877181_chr5:24033824-24034956,enhancer_hit,
Abhd2_Forebrain_Any,chr7:79278114-79280420_chr7:79298176-79304536,enhancer_hit,
Abhd2_Forebrain_Any,chr7:79278114-79280420_chr7:79308098-79319040,enhancer_hit,single
Abhd2_Forebrain_Any,chr7:79298176-79304536_chr7:79308098-79319040,enhancer_hit,single
Abhd2_Forebrain_E11.5,chr7:79278114-79280420_chr7:79308098-79319040,enhancer_hit,single
Abl1_Heart_Any,chr2:31748161-31750406_chr2:32325058-32331535,enhancer_hit,single
Abl1_Limb_Any,chr2:31748161-31750406_chr2:32325058-32331535,enhancer_hit,single
Abl1_Limb_E11.5,chr2:31748161-31750406_chr2:32325058-32331535,enhancer_hit,single
Abr_Forebrain_Any,chr11:76278589-76280571_chr11:77843140-77844887,enhancer_hit,
Abtb2_Heart_Any,chr2:103629370-103633180_chr2:103659569-103663070,enhancer_hit,single
Acaca_Forebrain_Any,chr11:84010453-84014041_chr11:84381825-84385013,enhancer_hit,
Acaca_Forebrain_Any,chr11:84323769-84325650_chr11:84381825-84385013,enhancer_hit,single
Acaca_Forebrain_E11.5,chr11:84010453-84014041_chr11:84381825-84385013,enhancer_hit,
Acaca_Forebrain_E11.5,chr11:84323769-84325650_chr11:84381825-84385013,enhancer_hit,single
Acad12_Heart_Any,chr5:121455208-121456416_chr5:122090978-122098450,enhancer_hit,single
Acad12_Heart_Any,chr5:121455208-121456416_chr5:122103482-122112471,enhancer_hit,single
Acad12_Heart_Any,chr5:121685006-121687501_chr5:122090978-122098450,enhancer_hit,double
Acad12_Heart_Any,chr5:122090978-122098450_chr5:122103482-122112471,enhancer_hit,single
Acad12_Heart_E11.5,chr5:121685006-121687501_chr5:122090978-122098450,enhancer_hit,double
Acad12_Heart_E11.5,chr5:122090978-122098450_chr5:122103482-122112471,enhancer_hit,single
Acads_Heart_Any,chr5:114368776-114376412_chr5:115067821-115076507,enhancer_hit,
Acads_Heart_Any,chr5:114368776-114376412_chr5:115149292-115155676,enhancer_hit,
Acads_Heart_Any,chr5:114368776-114376412_chr5:115165774-115168344,enhancer_hit,
Acads_Heart_Any,chr5:114782609-114786122_chr5:115013636-115019500,enhancer_hit,single
Acads_Heart_Any,chr5:114782609-114786122_chr5:115067821-115076507,enhancer_hit,single
Acads_Heart_Any,chr5:114782609-114786122_chr5:115149292-115155676,enhancer_hit,
Acads_Heart_Any,chr5:114782609-114786122_chr5:115165774-115168344,enhancer_hit,single
Acads_Heart_Any,chr5:114782609-114786122_chr5:115265592-115270392,enhancer_hit,single
Acads_Heart_Any,chr5:115013636-115019500_chr5:115067821-115076507,enhancer_hit,single
Acads_Heart_Any,chr5:115013636-115019500_chr5:115149292-115155676,enhancer_hit,single
Acads_Heart_Any,chr5:115013636-115019500_chr5:115165774-115168344,enhancer_hit,single
Acads_Heart_Any,chr5:115013636-115019500_chr5:115265592-115270392,enhancer_hit,single
Acads_Heart_Any,chr5:115013636-115019500_chr5:115312137-115314252,enhancer_hit,single
Acads_Heart_Any,chr5:115067821-115076507_chr5:115149292-115155676,enhancer_hit,single
Acads_Heart_Any,chr5:115067821-115076507_chr5:115165774-115168344,enhancer_hit,double
Acads_Heart_Any,chr5:115067821-115076507_chr5:115265592-115270392,enhancer_hit,double
Acads_Heart_Any,chr5:115067821-115076507_chr5:115312137-115314252,enhancer_hit,single
Acads_Heart_Any,chr5:115149292-115155676_chr5:115165774-115168344,enhancer_hit,single
Acads_Heart_Any,chr5:115149292-115155676_chr5:115265592-115270392,enhancer_hit,single
Acads_Heart_Any,chr5:115165774-115168344_chr5:115265592-115270392,enhancer_hit,double
Acads_Heart_E11.5,chr5:114368776-114376412_chr5:115067821-115076507,enhancer_hit,
Acads_Heart_E11.5,chr5:114368776-114376412_chr5:115149292-115155676,enhancer_hit,
Acads_Heart_E11.5,chr5:114368776-114376412_chr5:115165774-115168344,enhancer_hit,
Acads_Heart_E11.5,chr5:115013636-115019500_chr5:115067821-115076507,enhancer_hit,single
Acads_Heart_E11.5,chr5:115013636-115019500_chr5:115149292-115155676,enhancer_hit,single
Acads_Heart_E11.5,chr5:115013636-115019500_chr5:115165774-115168344,enhancer_hit,single
Acads_Heart_E11.5,chr5:115013636-115019500_chr5:115265592-115270392,enhancer_hit,single
Acads_Heart_E11.5,chr5:115013636-115019500_chr5:115312137-115314252,enhancer_hit,single
Acads_Heart_E11.5,chr5:115067821-115076507_chr5:115149292-115155676,enhancer_hit,single
Acads_Heart_E11.5,chr5:115067821-115076507_chr5:115165774-115168344,enhancer_hit,double
Acads_Heart_E11.5,chr5:115067821-115076507_chr5:115265592-115270392,enhancer_hit,double
Acads_Heart_E11.5,chr5:115067821-115076507_chr5:115312137-115314252,enhancer_hit,single
Acads_Heart_E11.5,chr5:115149292-115155676_chr5:115165774-115168344,enhancer_hit,single
Acads_Heart_E11.5,chr5:115149292-115155676_chr5:115265592-115270392,enhancer_hit,single
Acads_Heart_E11.5,chr5:115165774-115168344_chr5:115265592-115270392,enhancer_hit,double
Acads_Limb_Any,chr5:114368776-114376412_chr5:115067821-115076507,enhancer_hit,
Acads_Limb_Any,chr5:114368776-114376412_chr5:115149292-115155676,enhancer_hit,
Acads_Limb_Any,chr5:115067821-115076507_chr5:115149292-115155676,enhancer_hit,single
Acads_Limb_Any,chr5:115067821-115076507_chr5:115265592-115270392,enhancer_hit,double
Acads_Limb_Any,chr5:115067821-115076507_chr5:115312137-115314252,enhancer_hit,single
Acads_Limb_Any,chr5:115149292-115155676_chr5:115265592-115270392,enhancer_hit,single
Acads_Limb_E11.5,chr5:114368776-114376412_chr5:115067821-115076507,enhancer_hit,
Acads_Limb_E11.5,chr5:114368776-114376412_chr5:115149292-115155676,enhancer_hit,
Acads_Limb_E11.5,chr5:115067821-115076507_chr5:115149292-115155676,enhancer_hit,single
Acads_Limb_E11.5,chr5:115067821-115076507_chr5:115265592-115270392,enhancer_hit,double
Acads_Limb_E11.5,chr5:115149292-115155676_chr5:115265592-115270392,enhancer_hit,single
Acot2_Heart_Any,chr12:83725924-83727852_chr12:83946933-83948107,enhancer_hit,
Acot2_Heart_Any,chr12:83997834-84001222_chr12:84154591-84156062,enhancer_hit,single
Actn1_Heart_Any,chr12:80207703-80212901_chr12:80215685-80221895,enhancer_hit,single
Actn1_Heart_Any,chr12:80207703-80212901_chr12:80237616-80239977,enhancer_hit,single
Actn1_Heart_Any,chr12:80207703-80212901_chr12:80318523-80319573,enhancer_hit,single
Actn1_Heart_Any,chr12:80207703-80212901_chr12:80329086-80332626,enhancer_hit,single
Actn1_Heart_Any,chr12:80207703-80212901_chr12:80360246-80361413,enhancer_hit,single
Actn1_Heart_Any,chr12:80207703-80212901_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_Any,chr12:80215685-80221895_chr12:80222739-80232999,enhancer_hit,
Actn1_Heart_Any,chr12:80215685-80221895_chr12:80237616-80239977,enhancer_hit,
Actn1_Heart_Any,chr12:80215685-80221895_chr12:80329086-80332626,enhancer_hit,single
Actn1_Heart_Any,chr12:80215685-80221895_chr12:80360246-80361413,enhancer_hit,single
Actn1_Heart_Any,chr12:80215685-80221895_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_Any,chr12:80222739-80232999_chr12:80237616-80239977,enhancer_hit,single
Actn1_Heart_Any,chr12:80237616-80239977_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_Any,chr12:80318523-80319573_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_Any,chr12:80329086-80332626_chr12:80360246-80361413,enhancer_hit,single
Actn1_Heart_Any,chr12:80329086-80332626_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_Any,chr12:80360246-80361413_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_E11.5,chr12:80207703-80212901_chr12:80215685-80221895,enhancer_hit,single
Actn1_Heart_E11.5,chr12:80207703-80212901_chr12:80329086-80332626,enhancer_hit,single
Actn1_Heart_E11.5,chr12:80207703-80212901_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_E11.5,chr12:80215685-80221895_chr12:80222739-80232999,enhancer_hit,
Actn1_Heart_E11.5,chr12:80215685-80221895_chr12:80329086-80332626,enhancer_hit,single
Actn1_Heart_E11.5,chr12:80215685-80221895_chr12:80364734-80368723,enhancer_hit,single
Actn1_Heart_E11.5,chr12:80329086-80332626_chr12:80364734-80368723,enhancer_hit,single
Actn1_Limb_Any,chr12:80207703-80212901_chr12:80237616-80239977,enhancer_hit,single
Actn1_Limb_Any,chr12:80207703-80212901_chr12:80329086-80332626,enhancer_hit,single
Actn1_Limb_Any,chr12:80207703-80212901_chr12:80364734-80368723,enhancer_hit,single
Actn1_Limb_Any,chr12:80222739-80232999_chr12:80237616-80239977,enhancer_hit,single
Actn1_Limb_Any,chr12:80237616-80239977_chr12:80364734-80368723,enhancer_hit,single
Actn1_Limb_Any,chr12:80329086-80332626_chr12:80364734-80368723,enhancer_hit,single
Actn2_Heart_Any,chr13:12360540-12362083_chr13:12384121-12386393,enhancer_hit,single
Actr3_Heart_Any,chr1:125573808-125578723_chr1:125652178-125654489,enhancer_hit,
Acvr1_Heart_Any,chr2:58483790-58490482_chr2:58518772-58520020,enhancer_hit,
Acy3_Heart_Any,chr19:3645174-3646722_chr19:4293643-4303455,enhancer_hit,single
Acy3_Heart_Any,chr19:4184344-4188018_chr19:4293643-4303455,enhancer_hit,single
