chr,enh1_start,enh1_end,enh1_id,enh2_start,enh2_end,enh2_id,gap_start,gap_end,gap_bp,gap_te_bp,gap_nonTE_bp,gap_te_frac,criterion_met,n_te_segments_in_gap,te_segments_in_gap,pair_label
chr2R,4902716,4902916,2,5453758,5453958,3,4902916,5453758,550842,456164,94678,0.828121312463465,gap_te_frac>=0.8,225,4902916-4904943;4905075-4906045;4906483-4908479;4908722-4908776;4908777-4909562;4909629-4910246;4910257-4914081;4914239-4916001;4916486-4916885;4916886-4916941;4918246-4923594;4923601-4929312;4929319-4929329;4929514-4930630;4930649-4930758;4930773-4931963;4932086-4933539;4933901-4934050;4934051-4940163;4940397-4940658;4941246-4941586;4941614-4941866;4941928-4942302;4943477-4949098;4949114-4949259;4950156-4950517;4950593-4954503;4955365-4955535;4957228-4960369;4960382-4960634;4960662-4969016;4969017-4969308;4969424-4969582;4969592-4969793;4970632-4970852;4970866-4971212;4971721-4972552;4973141-4975051;4975201-4975617;4976216-4977089;4977137-4978673;4978829-4980793;4981018-4985245;4985247-4986721;4986722-4986803;4986804-4987135;4987421-4995013;4995160-4996113;4996153-4996346;4996509-4996728;4997198-4999452;4999453-4999702;4999753-5001787;5001791-5001911;5001953-5013402;5013504-5017066;5017192-5018439;5018449-5018613;5018839-5019217;5019823-5020210;5022348-5023856;5024682-5026283;5026412-5028137;5028242-5028655;5028779-5028941;5028945-5030968;5032134-5032218;5032219-5039318;5039601-5039721;5039723-5040734;5040737-5041225;5041659-5043010;5043439-5043620;5043899-5045593;5045826-5048676;5048677-5061584;5062001-5062114;5062164-5062288;5062337-5063484;5063952-5064773;5067772-5068197;5068216-5075030;5075385-5075517;5076471-5078623;5079150-5079226;5079258-5079856;5080202-5080507;5080851-5081125;5081165-5083119;5083499-5084052;5084105-5084489;5084854-5085277;5085283-5085316;5085346-5085702;5086873-5087053;5087267-5089031;5089819-5090102;5090228-5090341;5090930-5091077;5095782-5098976;5098996-5106923;5107003-5108157;5108247-5109696;5110122-5110331;5111563-5112533;5112555-5112813;5112818-5136516;5136522-5138376;5139783-5139891;5140436-5140674;5140684-5140761;5141109-5141659;5141660-5142387;5142388-5143495;5143524-5144516;5145333-5145623;5145772-5156624;5156626-5156741;5156742-5169880;5169881-5170070;5170073-5171728;5172036-5172454;5172510-5172661;5172699-5173046;5173595-5174015;5174033-5174812;5174819-5175790;5176058-5177506;5177521-5182951;5184955-5184991;5184992-5217332;5217753-5223615;5223774-5225485;5226334-5226411;5226488-5226651;5226657-5237086;5237173-5237602;5237807-5238258;5238659-5240150;5240590-5240813;5241721-5241866;5242121-5250227;5252968-5253332;5253580-5253755;5254436-5254632;5254681-5265068;5265366-5265491;5265675-5266031;5268130-5268375;5269539-5271256;5274032-5274160;5274175-5275601;5275602-5275779;5275780-5277170;5277192-5282617;5283683-5284148;5284495-5291447;5291464-5297400;5297603-5298884;5299187-5305222;5305546-5306067;5306233-5306472;5306477-5306709;5306719-5307163;5308100-5308162;5309102-5311500;5311605-5311885;5312015-5313006;5313143-5315401;5315424-5315718;5315737-5316198;5316851-5317022;5317023-5319306;5319513-5319684;5319870-5325120;5328095-5330277;5330291-5331073;5331134-5338046;5338054-5338845;5341412-5343356;5343362-5344721;5345191-5348402;5348483-5350189;5352303-5352868;5352904-5353283;5353453-5353749;5354948-5355998;5356766-5357203;5357522-5358179;5358945-5364096;5364457-5364953;5366012-5366396;5367048-5367306;5367314-5367432;5367488-5372381;5372385-5372656;5372710-5374330;5374815-5387664;5387667-5394281;5394282-5394463;5394464-5394953;5395495-5396763;5396866-5396921;5396923-5397235;5397238-5398015;5398043-5400057;5400321-5400681;5400720-5403339;5404090-5404203;5404220-5409000;5409001-5409486;5411076-5412729;5417206-5417246;5418045-5420623;5421126-5421458;5423270-5423690;5424317-5424849;5424947-5424997;5425169-5426669;5426824-5426957;5426973-5432130;5432327-5435538;5437162-5444770;5444793-5446289;5447986-5453133,chr2R:4902716-4902916 (ID 2) | chr2R:5453758-5453958 (ID 3)
chr2R,5453758,5453958,3,5655838,5656038,4,5453958,5655838,201880,166412,35468,0.8243114721616802,gap_te_frac>=0.8,72,5456177-5456577;5456593-5456646;5456657-5458428;5458682-5460387;5460424-5460492;5461448-5462841;5463473-5464195;5464232-5465803;5465805-5466505;5466702-5469076;5469138-5470697;5470801-5471837;5472184-5472985;5473175-5473296;5473812-5474186;5474201-5474556;5475812-5476144;5476186-5477647;5478553-5492900;5497004-5529959;5530017-5531170;5531447-5531910;5532397-5541006;5541899-5541969;5542945-5543063;5543076-5543206;5543245-5547274;5550963-5552621;5552622-5555266;5555606-5556820;5556821-5558567;5558580-5560416;5560659-5560795;5560796-5562542;5562555-5578281;5578285-5578971;5579238-5580452;5580453-5580608;5580896-5581274;5581752-5581932;5582206-5583561;5583562-5597080;5597081-5597190;5597195-5598148;5598153-5600365;5600459-5600885;5601117-5601253;5601254-5601605;5601663-5601911;5603041-5603091;5605037-5605329;5607207-5607244;5609769-5611068;5612524-5614681;5614793-5616445;5616654-5617375;5617553-5617960;5617967-5618787;5618791-5620823;5621014-5621514;5621809-5621999;5622121-5627594;5627743-5632964;5633059-5633414;5633444-5633864;5633885-5636311;5636365-5637646;5637664-5638575;5638617-5639603;5640438-5640635;5641322-5641451;5644279-5655838,chr2R:5453758-5453958 (ID 3) | chr2R:5655838-5656038 (ID 4)
chr2R,5693363,5693563,7,5702107,5702307,8,5693563,5702107,8544,7086,1458,0.8293539325842697,gap_te_frac>=0.8,2,5694689-5701448;5701454-5701781,chr2R:5693363-5693563 (ID 7) | chr2R:5702107-5702307 (ID 8)
chr2R,5709801,5710380,9,5711112,5711586,10,5710380,5711112,732,732,0,1.0,both_rules,1,5710380-5711112,chr2R:5709801-5710380 (ID 9) | chr2R:5711112-5711586 (ID 10)
chr2R,5711112,5711586,10,5725995,5726195,11,5711586,5725995,14409,14409,0,1.0,both_rules,1,5711586-5725995,chr2R:5711112-5711586 (ID 10) | chr2R:5725995-5726195 (ID 11)
chr2R,5725995,5726195,11,5726792,5727138,12,5726195,5726792,597,597,0,1.0,both_rules,1,5726195-5726792,chr2R:5725995-5726195 (ID 11) | chr2R:5726792-5727138 (ID 12)
chr2R,5726792,5727138,12,5736347,5736547,13,5727138,5736347,9209,9209,0,1.0,both_rules,1,5727138-5736347,chr2R:5726792-5727138 (ID 12) | chr2R:5736347-5736547 (ID 13)
chr2R,5782368,5782568,14,5782705,5783010,15,5782568,5782705,137,137,0,1.0,both_rules,1,5782568-5782705,chr2R:5782368-5782568 (ID 14) | chr2R:5782705-5783010 (ID 15)
chr2R,5937400,5937600,17,5938587,5938787,18,5937600,5938587,987,987,0,1.0,both_rules,1,5937600-5938587,chr2R:5937400-5937600 (ID 17) | chr2R:5938587-5938787 (ID 18)
chr2R,6131857,6132334,29,6132729,6133711,30,6132334,6132729,395,395,0,1.0,both_rules,1,6132334-6132729,chr2R:6131857-6132334 (ID 29) | chr2R:6132729-6133711 (ID 30)
chr2R,6132729,6133711,30,6134018,6134444,31,6133711,6134018,307,307,0,1.0,both_rules,1,6133711-6134018,chr2R:6132729-6133711 (ID 30) | chr2R:6134018-6134444 (ID 31)
chr2R,6161450,6161650,39,6162316,6162516,40,6161650,6162316,666,666,0,1.0,both_rules,1,6161650-6162316,chr2R:6161450-6161650 (ID 39) | chr2R:6162316-6162516 (ID 40)
chr2R,6162316,6162516,40,6164871,6165071,41,6162516,6164871,2355,2355,0,1.0,both_rules,1,6162516-6164871,chr2R:6162316-6162516 (ID 40) | chr2R:6164871-6165071 (ID 41)
chr2R,6164871,6165071,41,6165763,6166235,42,6165071,6165763,692,692,0,1.0,both_rules,1,6165071-6165763,chr2R:6164871-6165071 (ID 41) | chr2R:6165763-6166235 (ID 42)
chr2R,6165763,6166235,42,6167000,6167200,43,6166235,6167000,765,283,482,0.36993464052287583,TE_present_and_gap_nonTE_bp<500,1,6166235-6166518,chr2R:6165763-6166235 (ID 42) | chr2R:6167000-6167200 (ID 43)
chr2R,6171549,6171900,46,6178426,6178783,47,6171900,6178426,6526,5517,1009,0.8453876800490346,gap_te_frac>=0.8,1,6171900-6177417,chr2R:6171549-6171900 (ID 46) | chr2R:6178426-6178783 (ID 47)
chr2R,6251965,6252165,56,6501485,6501685,57,6252165,6501485,249320,241582,7738,0.9689635809401572,gap_te_frac>=0.8,66,6252165-6255996;6255998-6256205;6256213-6256433;6256437-6258986;6258987-6261257;6261268-6269252;6269304-6269869;6269870-6270673;6270674-6280050;6280051-6287672;6287697-6290539;6290553-6294164;6294165-6296668;6296669-6320928;6320930-6326985;6327009-6330324;6330328-6337692;6337693-6340282;6340718-6341249;6341353-6341771;6341777-6342266;6342291-6345213;6345214-6346948;6346949-6351596;6351597-6358443;6358444-6359442;6359711-6361713;6361737-6361977;6362156-6367243;6367244-6368512;6368523-6370321;6370365-6374261;6374262-6375530;6375541-6382323;6382327-6383237;6383248-6384154;6384156-6395093;6395102-6396148;6396157-6397203;6397212-6398061;6398094-6406123;6406132-6408293;6408302-6411091;6411106-6415325;6415327-6416664;6417222-6418991;6419004-6420120;6420121-6435736;6435737-6436548;6436801-6439522;6439523-6448401;6448807-6449004;6449006-6449276;6449296-6450672;6450692-6450894;6450914-6455961;6456090-6460138;6460152-6460314;6460315-6460650;6460916-6462635;6462843-6462978;6463064-6469739;6469740-6480240;6480241-6481816;6481817-6492460;6494608-6499277,chr2R:6251965-6252165 (ID 56) | chr2R:6501485-6501685 (ID 57)
chr2R,9867863,9868129,310,9868425,9868625,311,9868129,9868425,296,295,1,0.9966216216216216,both_rules,2,9868129-9868272;9868273-9868425,chr2R:9867863-9868129 (ID 310) | chr2R:9868425-9868625 (ID 311)
chr2R,12979586,12979786,587,12980017,12980473,588,12979786,12980017,231,12,219,0.05194805194805195,TE_present_and_gap_nonTE_bp<500,1,12979786-12979798,chr2R:12979586-12979786 (ID 587) | chr2R:12980017-12980473 (ID 588)
chr2R,15118481,15118681,775,15127730,15127952,776,15118681,15127730,9049,8361,688,0.9239694993921981,gap_te_frac>=0.8,1,15119369-15127730,chr2R:15118481-15118681 (ID 775) | chr2R:15127730-15127952 (ID 776)
chr2R,19727979,19728200,1113,19728482,19728826,1114,19728200,19728482,282,93,189,0.32978723404255317,TE_present_and_gap_nonTE_bp<500,1,19728389-19728482,chr2R:19727979-19728200 (ID 1113) | chr2R:19728482-19728826 (ID 1114)
chr2R,25216608,25216808,1496,25218084,25218337,1497,25216808,25218084,1276,1172,104,0.9184952978056427,both_rules,1,25216808-25217980,chr2R:25216608-25216808 (ID 1496) | chr2R:25218084-25218337 (ID 1497)
chr3L,109895,110151,3501,119334,119534,3502,110151,119334,9183,9067,116,0.9873679625394751,both_rules,1,110267-119334,chr3L:109895-110151 (ID 3501) | chr3L:119334-119534 (ID 3502)
chr3L,1043362,1043562,3617,1043744,1043944,3618,1043562,1043744,182,41,141,0.22527472527472528,TE_present_and_gap_nonTE_bp<500,1,1043703-1043744,chr3L:1043362-1043562 (ID 3617) | chr3L:1043744-1043944 (ID 3618)
chr3L,2446307,2446507,3718,2458972,2459172,3719,2446507,2458972,12465,10150,2315,0.8142799839550742,gap_te_frac>=0.8,1,2446507-2456657,chr3L:2446307-2446507 (ID 3718) | chr3L:2458972-2459172 (ID 3719)
chr3L,3060419,3060797,3778,3070562,3070865,3779,3060797,3070562,9765,8527,1238,0.8732206861239119,gap_te_frac>=0.8,1,3061337-3069864,chr3L:3060419-3060797 (ID 3778) | chr3L:3070562-3070865 (ID 3779)
chr3L,10855373,10855774,4238,10856200,10856400,4239,10855774,10856200,426,11,415,0.025821596244131457,TE_present_and_gap_nonTE_bp<500,1,10855774-10855785,chr3L:10855373-10855774 (ID 4238) | chr3L:10856200-10856400 (ID 4239)
chr3L,21960661,21960861,5077,21961896,21962096,5078,21960861,21961896,1035,667,368,0.6444444444444445,TE_present_and_gap_nonTE_bp<500,2,21960926-21961226;21961231-21961598,chr3L:21960661-21960861 (ID 5077) | chr3L:21961896-21962096 (ID 5078)
chr3L,22266512,22266746,5092,22267492,22267775,5093,22266746,22267492,746,531,215,0.7117962466487936,TE_present_and_gap_nonTE_bp<500,1,22266903-22267434,chr3L:22266512-22266746 (ID 5092) | chr3L:22267492-22267775 (ID 5093)
chr3L,22943531,22943800,5130,22945128,22945400,5131,22943800,22945128,1328,1057,271,0.795933734939759,TE_present_and_gap_nonTE_bp<500,1,22943800-22944857,chr3L:22943531-22943800 (ID 5130) | chr3L:22945128-22945400 (ID 5131)
chr3L,23150257,23150457,5138,23434411,23434611,5139,23150457,23434411,283954,251007,32947,0.8839706431323383,gap_te_frac>=0.8,97,23150809-23154682;23154774-23154965;23154966-23155354;23155754-23156910;23156998-23164583;23164585-23164691;23164718-23165868;23165930-23173351;23173355-23176394;23176406-23191837;23191920-23191988;23191990-23195752;23196058-23197379;23197414-23197595;23198022-23198306;23198694-23198787;23198817-23215963;23216206-23217772;23218379-23219268;23219675-23219815;23219852-23224281;23224935-23225018;23225798-23226572;23226694-23227288;23228358-23228527;23229014-23229800;23229888-23229989;23229990-23230040;23230884-23231163;23231180-23231492;23232025-23233596;23233879-23234943;23235179-23238075;23238078-23238189;23241916-23243040;23243375-23243702;23245955-23246330;23247990-23248365;23248901-23248967;23249039-23250522;23251086-23251192;23251500-23251902;23252129-23256979;23258231-23260607;23260747-23269390;23270370-23270959;23271017-23271086;23271352-23271418;23271509-23277507;23277854-23277992;23278573-23289539;23289660-23290239;23290583-23295310;23296038-23297930;23297943-23298928;23298931-23313097;23313099-23315187;23315191-23315379;23316395-23317389;23317390-23317400;23317548-23317861;23318035-23318388;23319895-23320395;23320594-23345809;23346120-23352341;23352346-23353793;23354699-23355047;23355082-23358736;23358782-23365934;23366037-23369557;23369571-23369765;23369835-23371566;23371578-23371663;23371665-23372177;23372193-23379713;23379717-23382071;23382114-23385169;23385174-23392793;23394186-23395158;23395196-23395429;23396064-23398275;23398311-23399884;23399885-23400157;23400167-23400449;23400624-23400747;23400750-23400842;23402625-23403093;23403099-23404814;23404854-23407465;23407467-23415942;23415943-23418323;23418328-23420913;23421063-23421931;23421943-23425850;23425983-23432058;23432062-23433798;23434196-23434241,chr3L:23150257-23150457 (ID 5138) | chr3L:23434411-23434611 (ID 5139)
chr3R,4603415,4603615,1520,4608908,4609108,1521,4603615,4608908,5293,5293,0,1.0,both_rules,1,4603615-4608908,chr3R:4603415-4603615 (ID 1520) | chr3R:4608908-4609108 (ID 1521)
chr3R,4740584,4740862,1529,4746192,4746392,1530,4740862,4746192,5330,5072,258,0.951594746716698,both_rules,2,4741106-4741291;4741305-4746192,chr3R:4740584-4740862 (ID 1529) | chr3R:4746192-4746392 (ID 1530)
chr3R,4746192,4746392,1530,4746412,4746823,1531,4746392,4746412,20,20,0,1.0,both_rules,1,4746392-4746412,chr3R:4746192-4746392 (ID 1530) | chr3R:4746412-4746823 (ID 1531)
chr3R,4746412,4746823,1531,4747955,4748155,1532,4746823,4747955,1132,1132,0,1.0,both_rules,1,4746823-4747955,chr3R:4746412-4746823 (ID 1531) | chr3R:4747955-4748155 (ID 1532)
chr3R,4824750,4824950,1543,4833221,4833421,1544,4824950,4833221,8271,6856,1415,0.8289203240236973,gap_te_frac>=0.8,2,4825938-4831661;4831878-4833011,chr3R:4824750-4824950 (ID 1543) | chr3R:4833221-4833421 (ID 1544)
chr3R,6820179,6820555,1704,6820980,6821180,1705,6820555,6820980,425,233,192,0.548235294117647,TE_present_and_gap_nonTE_bp<500,1,6820676-6820909,chr3R:6820179-6820555 (ID 1704) | chr3R:6820980-6821180 (ID 1705)
chr3R,6863936,6864136,1713,6865740,6865940,1714,6864136,6865740,1604,1604,0,1.0,both_rules,1,6864136-6865740,chr3R:6863936-6864136 (ID 1713) | chr3R:6865740-6865940 (ID 1714)
chr3R,6865740,6865940,1714,6865941,6866141,1715,6865940,6865941,1,1,0,1.0,both_rules,1,6865940-6865941,chr3R:6865740-6865940 (ID 1714) | chr3R:6865941-6866141 (ID 1715)
chr3R,6865941,6866141,1715,6868276,6868476,1716,6866141,6868276,2135,1655,480,0.775175644028103,TE_present_and_gap_nonTE_bp<500,1,6866141-6867796,chr3R:6865941-6866141 (ID 1715) | chr3R:6868276-6868476 (ID 1716)
chr3R,7089430,7089923,1742,7090401,7090671,1743,7089923,7090401,478,37,441,0.07740585774058577,TE_present_and_gap_nonTE_bp<500,1,7090364-7090401,chr3R:7089430-7089923 (ID 1742) | chr3R:7090401-7090671 (ID 1743)
chr3R,8897773,8897973,1863,8915715,8915915,1864,8897973,8915715,17742,15522,2220,0.8748731822793372,gap_te_frac>=0.8,2,8898276-8906387;8906389-8913800,chr3R:8897773-8897973 (ID 1863) | chr3R:8915715-8915915 (ID 1864)
chr3R,11759286,11759486,2104,11759806,11760006,2105,11759486,11759806,320,80,240,0.25,TE_present_and_gap_nonTE_bp<500,1,11759524-11759604,chr3R:11759286-11759486 (ID 2104) | chr3R:11759806-11760006 (ID 2105)
chr3R,16098968,16099168,2438,16099596,16099977,2439,16099168,16099596,428,92,336,0.21495327102803738,TE_present_and_gap_nonTE_bp<500,1,16099433-16099525,chr3R:16098968-16099168 (ID 2438) | chr3R:16099596-16099977 (ID 2439)
chr3R,17645379,17645671,2583,17645855,17646055,2584,17645671,17645855,184,3,181,0.016304347826086956,TE_present_and_gap_nonTE_bp<500,1,17645852-17645855,chr3R:17645379-17645671 (ID 2583) | chr3R:17645855-17646055 (ID 2584)
chr3R,17645855,17646055,2584,17646166,17646414,2585,17646055,17646166,111,1,110,0.009009009009009009,TE_present_and_gap_nonTE_bp<500,1,17646055-17646056,chr3R:17645855-17646055 (ID 2584) | chr3R:17646166-17646414 (ID 2585)
chr3R,26888593,26888982,3205,26889217,26889417,3206,26888982,26889217,235,56,179,0.23829787234042554,TE_present_and_gap_nonTE_bp<500,1,26889105-26889161,chr3R:26888593-26888982 (ID 3205) | chr3R:26889217-26889417 (ID 3206)
chr3R,28599886,28600086,3261,28600128,28600471,3262,28600086,28600128,42,42,0,1.0,both_rules,1,28600086-28600128,chr3R:28599886-28600086 (ID 3261) | chr3R:28600128-28600471 (ID 3262)
chr3R,29263228,29263428,3310,29263627,29263827,3311,29263428,29263627,199,96,103,0.4824120603015075,TE_present_and_gap_nonTE_bp<500,1,29263437-29263533,chr3R:29263228-29263428 (ID 3310) | chr3R:29263627-29263827 (ID 3311)
chr4,44855,45106,6555,56272,56604,6556,45106,56272,11166,9778,1388,0.875694071287838,gap_te_frac>=0.8,1,46494-56272,chr4:44855-45106 (ID 6555) | chr4:56272-56604 (ID 6556)
chr4,56272,56604,6556,59003,59360,6557,56604,59003,2399,2399,0,1.0,both_rules,1,56604-59003,chr4:56272-56604 (ID 6556) | chr4:59003-59360 (ID 6557)
chr4,59003,59360,6557,60080,60280,6558,59360,60080,720,720,0,1.0,both_rules,1,59360-60080,chr4:59003-59360 (ID 6557) | chr4:60080-60280 (ID 6558)
chr4,129705,129988,6562,155868,156068,6563,129988,155868,25880,21124,4756,0.8162287480680062,gap_te_frac>=0.8,9,129988-130057;130067-130518;130585-131337;135588-143685;143750-147934;148229-149027;149041-149105;149152-149634;149641-155868,chr4:129705-129988 (ID 6562) | chr4:155868-156068 (ID 6563)
chr4,385333,385777,6572,386858,387058,6573,385777,386858,1081,1081,0,1.0,both_rules,1,385777-386858,chr4:385333-385777 (ID 6572) | chr4:386858-387058 (ID 6573)
chr4,406844,407144,6578,411578,411872,6579,407144,411578,4434,4408,26,0.9941362201172756,both_rules,1,407170-411578,chr4:406844-407144 (ID 6578) | chr4:411578-411872 (ID 6579)
chr4,411578,411872,6579,415559,415759,6580,411872,415559,3687,3687,0,1.0,both_rules,1,411872-415559,chr4:411578-411872 (ID 6579) | chr4:415559-415759 (ID 6580)
chr4,485988,486188,6587,486536,486836,6588,486188,486536,348,53,295,0.15229885057471265,TE_present_and_gap_nonTE_bp<500,1,486483-486536,chr4:485988-486188 (ID 6587) | chr4:486536-486836 (ID 6588)
chr4,486536,486836,6588,497946,498146,6589,486836,497946,11110,10156,954,0.9141314131413142,gap_te_frac>=0.8,1,487790-497946,chr4:486536-486836 (ID 6588) | chr4:497946-498146 (ID 6589)
chr4,535434,535634,6595,557051,557498,6596,535634,557051,21417,20359,1058,0.9505999906616239,gap_te_frac>=0.8,2,535634-555865;555889-556017,chr4:535434-535634 (ID 6595) | chr4:557051-557498 (ID 6596)
chr4,625836,626126,6602,652745,652945,6603,626126,652745,26619,26619,0,1.0,both_rules,1,626126-652745,chr4:625836-626126 (ID 6602) | chr4:652745-652945 (ID 6603)
chr4,662728,662928,6604,664076,664276,6605,662928,664076,1148,1148,0,1.0,both_rules,1,662928-664076,chr4:662728-662928 (ID 6604) | chr4:664076-664276 (ID 6605)
chr4,704359,704559,6606,704596,704796,6607,704559,704596,37,37,0,1.0,both_rules,1,704559-704596,chr4:704359-704559 (ID 6606) | chr4:704596-704796 (ID 6607)
chr4,704596,704796,6607,708538,708738,6608,704796,708538,3742,3742,0,1.0,both_rules,1,704796-708538,chr4:704596-704796 (ID 6607) | chr4:708538-708738 (ID 6608)
chr4,817995,818328,6619,818801,819001,6620,818328,818801,473,473,0,1.0,both_rules,1,818328-818801,chr4:817995-818328 (ID 6619) | chr4:818801-819001 (ID 6620)
chr4,818801,819001,6620,828398,828598,6621,819001,828398,9397,9397,0,1.0,both_rules,1,819001-828398,chr4:818801-819001 (ID 6620) | chr4:828398-828598 (ID 6621)
chr4,835766,835966,6623,837175,837410,6624,835966,837175,1209,1070,139,0.8850289495450786,both_rules,1,836105-837175,chr4:835766-835966 (ID 6623) | chr4:837175-837410 (ID 6624)
chr4,963703,963903,6627,979955,980155,6628,963903,979955,16052,14206,1846,0.8849987540493397,gap_te_frac>=0.8,5,963903-967418;967862-968233;968778-970213;970293-970437;971214-979955,chr4:963703-963903 (ID 6627) | chr4:979955-980155 (ID 6628)
chr4,979955,980155,6628,989323,989669,6629,980155,989323,9168,9168,0,1.0,both_rules,1,980155-989323,chr4:979955-980155 (ID 6628) | chr4:989323-989669 (ID 6629)
