gene_label	pair_dir	enhancer_id	flank_side	chrom	start	end	length	is_intervening_inner	restricted_by_other_enhancers	truncated_at_boundary	softmasked_bases	masked_source	fasta_path
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450	chr2R:20558766-20559051	LEFT	chr2R	20556266	20558766	2500	0	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450/chr2R_20556266-20558766_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450	chr2R:20558766-20559051	RIGHT	chr2R	20559051	20559250	199	1	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450/chr2R_20559051-20559250_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450	chr2R:20559250-20559450	LEFT	chr2R	20559051	20559250	199	1	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450/chr2R_20559051-20559250_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450	chr2R:20559250-20559450	RIGHT	chr2R	20559450	20560480	1030	0	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450/chr2R_20559450-20560480_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860	chr2R:20558766-20559051	LEFT	chr2R	20556266	20558766	2500	0	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860/chr2R_20556266-20558766_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860	chr2R:20558766-20559051	RIGHT	chr2R	20559051	20559250	199	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860/chr2R_20559051-20559250_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860	chr2R:20560480-20560860	LEFT	chr2R	20559450	20560480	1030	1	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860/chr2R_20559450-20560480_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860	chr2R:20560480-20560860	RIGHT	chr2R	20560860	20562855	1995	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860/chr2R_20560860-20562855_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268	chr2R:20558766-20559051	LEFT	chr2R	20556266	20558766	2500	0	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268/chr2R_20556266-20558766_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268	chr2R:20558766-20559051	RIGHT	chr2R	20559051	20559250	199	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268/chr2R_20559051-20559250_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268	chr2R:20562855-20563268	LEFT	chr2R	20560860	20562855	1995	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268/chr2R_20560860-20562855_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268	chr2R:20562855-20563268	RIGHT	chr2R	20563268	20563710	442	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268/chr2R_20563268-20563710_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921	chr2R:20558766-20559051	LEFT	chr2R	20556266	20558766	2500	0	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921/chr2R_20556266-20558766_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921	chr2R:20558766-20559051	RIGHT	chr2R	20559051	20559250	199	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921/chr2R_20559051-20559250_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921	chr2R:20563710-20563921	LEFT	chr2R	20563268	20563710	442	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921/chr2R_20563268-20563710_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921	chr2R:20563710-20563921	RIGHT	chr2R	20563921	20566421	2500	0	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921/chr2R_20563921-20566421_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882	chr2R:20558766-20559051	LEFT	chr2R	20556266	20558766	2500	0	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882/chr2R_20556266-20558766_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882	chr2R:20558766-20559051	RIGHT	chr2R	20559051	20559250	199	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882/chr2R_20559051-20559250_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882	chr2R:20566669-20566882	LEFT	chr2R	20564169	20566669	2500	0	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882/chr2R_20564169-20566669_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882	chr2R:20566669-20566882	RIGHT	chr2R	20566882	20569382	2500	0	0	0	211	RepeatMasker	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882/chr2R_20566882-20569382_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860	chr2R:20559250-20559450	LEFT	chr2R	20559051	20559250	199	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860/chr2R_20559051-20559250_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860	chr2R:20559250-20559450	RIGHT	chr2R	20559450	20560480	1030	1	0	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860/chr2R_20559450-20560480_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860	chr2R:20560480-20560860	LEFT	chr2R	20559450	20560480	1030	1	0	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860/chr2R_20559450-20560480_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860	chr2R:20560480-20560860	RIGHT	chr2R	20560860	20562855	1995	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860/chr2R_20560860-20562855_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268	chr2R:20559250-20559450	LEFT	chr2R	20559051	20559250	199	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268/chr2R_20559051-20559250_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268	chr2R:20559250-20559450	RIGHT	chr2R	20559450	20560480	1030	1	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268/chr2R_20559450-20560480_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268	chr2R:20562855-20563268	LEFT	chr2R	20560860	20562855	1995	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268/chr2R_20560860-20562855_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268	chr2R:20562855-20563268	RIGHT	chr2R	20563268	20563710	442	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268/chr2R_20563268-20563710_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921	chr2R:20559250-20559450	LEFT	chr2R	20559051	20559250	199	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921/chr2R_20559051-20559250_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921	chr2R:20559250-20559450	RIGHT	chr2R	20559450	20560480	1030	1	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921/chr2R_20559450-20560480_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921	chr2R:20563710-20563921	LEFT	chr2R	20563268	20563710	442	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921/chr2R_20563268-20563710_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921	chr2R:20563710-20563921	RIGHT	chr2R	20563921	20566421	2500	0	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921/chr2R_20563921-20566421_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882	chr2R:20559250-20559450	LEFT	chr2R	20559051	20559250	199	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882/chr2R_20559051-20559250_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882	chr2R:20559250-20559450	RIGHT	chr2R	20559450	20560480	1030	0	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882/chr2R_20559450-20560480_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882	chr2R:20566669-20566882	LEFT	chr2R	20564169	20566669	2500	0	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882/chr2R_20564169-20566669_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882	chr2R:20566669-20566882	RIGHT	chr2R	20566882	20569382	2500	0	0	0	211	RepeatMasker	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882/chr2R_20566882-20569382_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268	chr2R:20560480-20560860	LEFT	chr2R	20559450	20560480	1030	0	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268/chr2R_20559450-20560480_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268	chr2R:20560480-20560860	RIGHT	chr2R	20560860	20562855	1995	1	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268/chr2R_20560860-20562855_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268	chr2R:20562855-20563268	LEFT	chr2R	20560860	20562855	1995	1	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268/chr2R_20560860-20562855_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268	chr2R:20562855-20563268	RIGHT	chr2R	20563268	20563710	442	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268/chr2R_20563268-20563710_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921	chr2R:20560480-20560860	LEFT	chr2R	20559450	20560480	1030	0	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921/chr2R_20559450-20560480_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921	chr2R:20560480-20560860	RIGHT	chr2R	20560860	20562855	1995	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921/chr2R_20560860-20562855_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921	chr2R:20563710-20563921	LEFT	chr2R	20563268	20563710	442	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921/chr2R_20563268-20563710_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921	chr2R:20563710-20563921	RIGHT	chr2R	20563921	20566421	2500	0	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921/chr2R_20563921-20566421_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882	chr2R:20560480-20560860	LEFT	chr2R	20559450	20560480	1030	0	1	0	53	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882/chr2R_20559450-20560480_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882	chr2R:20560480-20560860	RIGHT	chr2R	20560860	20562855	1995	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882/chr2R_20560860-20562855_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882	chr2R:20566669-20566882	LEFT	chr2R	20564169	20566669	2500	0	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882/chr2R_20564169-20566669_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882	chr2R:20566669-20566882	RIGHT	chr2R	20566882	20569382	2500	0	0	0	211	RepeatMasker	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882/chr2R_20566882-20569382_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921	chr2R:20562855-20563268	LEFT	chr2R	20560860	20562855	1995	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921/chr2R_20560860-20562855_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921	chr2R:20562855-20563268	RIGHT	chr2R	20563268	20563710	442	1	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921/chr2R_20563268-20563710_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921	chr2R:20563710-20563921	LEFT	chr2R	20563268	20563710	442	1	0	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921/chr2R_20563268-20563710_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921	chr2R:20563710-20563921	RIGHT	chr2R	20563921	20566421	2500	0	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921/chr2R_20563921-20566421_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882	chr2R:20562855-20563268	LEFT	chr2R	20560860	20562855	1995	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882/chr2R_20560860-20562855_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882	chr2R:20562855-20563268	RIGHT	chr2R	20563268	20563710	442	1	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882/chr2R_20563268-20563710_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882	chr2R:20566669-20566882	LEFT	chr2R	20563921	20566669	2748	1	1	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882/chr2R_20563921-20566669_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882	chr2R:20566669-20566882	RIGHT	chr2R	20566882	20569382	2500	0	0	0	211	RepeatMasker	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882/chr2R_20566882-20569382_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882	chr2R:20563710-20563921	LEFT	chr2R	20563268	20563710	442	0	1	0	0	RepeatMasker	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882/chr2R_20563268-20563710_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882	chr2R:20563710-20563921	RIGHT	chr2R	20563921	20566669	2748	1	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882/chr2R_20563921-20566669_RIGHT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882	chr2R:20566669-20566882	LEFT	chr2R	20563921	20566669	2748	1	0	0	41	RepeatMasker	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882/chr2R_20563921-20566669_LEFT.fa
FBgn0000044_sm	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882	chr2R:20566669-20566882	RIGHT	chr2R	20566882	20569382	2500	0	0	0	211	RepeatMasker	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882/chr2R_20566882-20569382_RIGHT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134	chr2L:5245229-5245858	LEFT	chr2L	5242729	5245229	2500	0	0	0	0	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134/chr2L_5242729-5245229_LEFT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134	chr2L:5245229-5245858	RIGHT	chr2L	5245858	5247934	2076	1	0	0	130	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134/chr2L_5245858-5247934_RIGHT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134	chr2L:5247934-5248134	LEFT	chr2L	5245858	5247934	2076	1	0	0	130	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134/chr2L_5245858-5247934_LEFT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134	chr2L:5247934-5248134	RIGHT	chr2L	5248134	5250634	2500	0	0	0	144	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134/chr2L_5248134-5250634_RIGHT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920	chr2L:5245229-5245858	LEFT	chr2L	5242729	5245229	2500	0	0	0	0	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920/chr2L_5242729-5245229_LEFT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920	chr2L:5245229-5245858	RIGHT	chr2L	5245858	5247934	2076	0	1	0	130	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920/chr2L_5245858-5247934_RIGHT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920	chr2L:5261720-5261920	LEFT	chr2L	5259220	5261720	2500	0	0	0	111	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920/chr2L_5259220-5261720_LEFT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920	chr2L:5261720-5261920	RIGHT	chr2L	5261920	5264420	2500	0	0	0	171	RepeatMasker	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920/chr2L_5261920-5264420_RIGHT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920	chr2L:5247934-5248134	LEFT	chr2L	5245858	5247934	2076	0	1	0	130	RepeatMasker	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920/chr2L_5245858-5247934_LEFT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920	chr2L:5247934-5248134	RIGHT	chr2L	5248134	5250634	2500	0	0	0	144	RepeatMasker	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920/chr2L_5248134-5250634_RIGHT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920	chr2L:5261720-5261920	LEFT	chr2L	5259220	5261720	2500	0	0	0	111	RepeatMasker	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920/chr2L_5259220-5261720_LEFT.fa
FBgn0000228_sm	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920	chr2L:5261720-5261920	RIGHT	chr2L	5261920	5264420	2500	0	0	0	171	RepeatMasker	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920/chr2L_5261920-5264420_RIGHT.fa
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729	chr3L:18758861-18759061	LEFT	chr3L	18756361	18758861	2500	0	0	0	118	RepeatMasker	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729/chr3L_18756361-18758861_LEFT.fa
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729	chr3L:18758861-18759061	RIGHT	chr3L	18759061	18761561	2500	0	0	0	407	RepeatMasker	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729/chr3L_18759061-18761561_RIGHT.fa
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729	chr3L:18792529-18792729	LEFT	chr3L	18790029	18792529	2500	0	0	0	102	RepeatMasker	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729/chr3L_18790029-18792529_LEFT.fa
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729	chr3L:18792529-18792729	RIGHT	chr3L	18792729	18795229	2500	0	0	0	239	RepeatMasker	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729/chr3L_18792729-18795229_RIGHT.fa
