gene_name,pair
FBgn0031895_vm,chr2L:7157539-7157943_chr2L:7133794-7134306
FBgn0261800_Spearman,chr2L:7810046-7810246_chr2L:7828777-7829096
FBgn0000636_vm,chr2L:18329506-18330029_chr2L:18331524-18331944
FBgn0038292_vm,chr3R:15091554-15092117_chr3R:15089634-15089885
FBgn0030451_sm,chrX:13070183-13070515_chrX:13078529-13078729
FBgn0020647_vm,chr3R:24032072-24032273_chr3R:24021882-24022138
FBgn0261286_vm,chr3R:16281158-16281613_chr3R:16249888-16250609
FBgn0030900_Spearman,chrX:18147841-18148227_chrX:18148950-18149279
FBgn0037816_Spearman,chr3R:10386663-10386863_chr3R:10383102-10383302
FBgn0037816_Spearman,chr3R:10385663-10385863_chr3R:10382028-10382228
FBgn0036460_Spearman,chr3L:14928799-14929134_chr3L:14941342-14941625
FBgn0036460_Spearman,chr3L:14918179-14918521_chr3L:14939995-14940646
FBgn0036460_Spearman,chr3L:14928799-14929134_chr3L:14930753-14930953
FBgn0036460_Spearman,chr3L:14928799-14929134_chr3L:14918179-14918521
FBgn0004456_sm,chrX:13128708-13129040_chrX:13214681-13214911
FBgn0004456_sm,chrX:13217305-13217505_chrX:13214681-13214911
FBgn0020257_Spearman,chr2R:22312131-22312433_chr2R:22301850-22302125
FBgn0004009_Spearman,chr2L:7312164-7312502_chr2L:7310393-7310593
FBgn0028369_Spearman,chrX:3100007-3100398_chrX:3104146-3104671
FBgn0028369_Spearman,chrX:3103482-3103682_chrX:3100007-3100398
FBgn0028369_Spearman,chrX:3103691-3103945_chrX:3102934-3103204
FBgn0005630_meso,chr2R:10206031-10206422_chr2R:10160478-10160690
FBgn0034013_meso,chr2R:14977821-14978455_chr2R:14980641-14981129
FBgn0016715_vm,chr3L:575160-575533_chr3L:622169-622652
FBgn0001250_Spearman,chrX:16714138-16714498_chrX:16714979-16715355
FBgn0033782_vm_sm,chr2R:12587132-12587415_chr2R:12529393-12529661
FBgn0000463_Spearman,chr3R:19343988-19344362_chr3R:19340770-19340970
FBgn0000463_Spearman,chr3R:19343351-19343609_chr3R:19350401-19350687
FBgn0000463_Spearman,chr3R:19332565-19332811_chr3R:19350401-19350687
FBgn0028369_meso_sm,chrX:2944529-2944919_chrX:3104146-3104671
FBgn0032487_Spearman,chr2L:13215675-13216164_chr2L:13211918-13212118
FBgn0023540_vm,chrX:2097213-2097718_chrX:2100179-2100460
,chr2L:8831724-8833417_chr2L:8811130-8811511
FBgn0032487_Spearman,chr2L:13225382-13225582_chr2L:13229384-13229619
FBgn0021906_Spearman,chr2L:1645971-1646171_chr2L:1657116-1657316
FBgn0033654_vm_sm,chr2R:11439695-11439903_chr2R:11467535-11467813
FBgn0001147_sm,chr2R:24627735-24628074_chr2R:24685575-24685932
FBgn0027066_vm_sm,chr2R:6359418-6359689_chr2R:6363538-6363738
FBgn0027066_vm_sm,chr2R:6363538-6363738_chr2R:6365997-6366271
FBgn0259678_sm,chr2R:9318986-9319419_chr2R:9372513-9372734
FBgn0041096_Spearman,chr3L:12063986-12064331_chr3L:12082643-12082843
FBgn0036460_Spearman,chr3L:14918179-14918521_chr3L:14922238-14922460
FBgn0027088_sm,chr3L:15048542-15048758_chr3L:15051009-15051402
FBgn0000261_sm,chr3L:18758861-18759061_chr3L:18812160-18812714
FBgn0086906_sm,chr3L:2098335-2098584_chr3L:2099069-2099450
FBgn0035379_sm,chr3L:2836046-2836310_chr3L:2902176-2902376
FBgn0035956_Spearman,chr3L:8984193-8984856_chr3L:8994546-8994994
FBgn0053207_sm,chr3R:15639984-15640424_chr3R:15664641-15665034
FBgn0015019_Spearman,chr3R:16715587-16715916_chr3R:16744397-16744662
FBgn0000463_sm,chr3R:19300935-19301225_chr3R:19317753-19317953
FBgn0004110_vm,chr3R:21393784-21394075_chr3R:21426735-21426998
