shadowset	pair_dir	enhancer_a	enhancer_b	feat_space	size_a	size_b	hits_a	hits_b	intersection	union	jaccard	cosine	overlap_coeff	weighted_jaccard	bray_curtis_sim	hellinger_sim	pos_jsd_sim	group	fimo_a	fimo_b	all_tfbs_jaccard_count	mesoderm_jaccard_count
FBgn0037608_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037608_vm/chr3R_8664009-8664210__chr3R_8664993-8665193	chr3R:8664009-8664210	chr3R:8664993-8665193	name	89	92	109	192	72	109	0.66055	0.630169	0.808989	0.0	0.524917	0.50043	1.0	neither	yes	yes	0.3407079646017699	0.13636363636363635
FBgn0037608_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037608_vm/chr3R_8664009-8664210__chr3R_8684628-8685183	chr3R:8664009-8664210	chr3R:8684628-8685183	name	89	85	109	173	50	124	0.403226	0.465932	0.588235	0.0	0.397163	0.33327	1.0	neither	yes	yes	0.22943722943722944	0.16666666666666666
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_9010205-9010405__chr3L_9024467-9024945	chr3L:9010205-9010405	chr3L:9024467-9024945	name	76	111	123	320	69	118	0.584746	0.744413	0.907895	0.0	0.501129	0.524785	1.0	neither	yes	yes	0.3323353293413174	0.21739130434782608
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_9010205-9010405__chr3L_9023155-9023452	chr3L:9010205-9010405	chr3L:9023155-9023452	name	76	57	123	78	32	101	0.316832	0.376695	0.561404	0.0	0.328358	0.268977	1.0	neither	yes	yes	0.19411764705882353	0.0
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8994546-8994994__chr3L_9010205-9010405	chr3L:8994546-8994994	chr3L:9010205-9010405	name	40	76	65	123	13	103	0.126214	0.180787	0.325	0.0	0.170213	0.116409	1.0	neither	yes	yes	0.08571428571428572	0.0
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8984193-8984856__chr3L_9023155-9023452	chr3L:8984193-8984856	chr3L:9023155-9023452	name	108	57	192	78	42	123	0.341463	0.376386	0.736842	0.0	0.340741	0.294965	1.0	neither	yes	yes	0.19298245614035087	0.0
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_9023155-9023452__chr3L_9024467-9024945	chr3L:9023155-9023452	chr3L:9024467-9024945	name	57	111	78	320	42	126	0.333333	0.37391	0.736842	0.0	0.246231	0.282151	1.0	neither	yes	yes	0.13636363636363635	0.07692307692307693
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8984193-8984856__chr3L_8994546-8994994	chr3L:8984193-8984856	chr3L:8994546-8994994	name	108	40	192	65	28	120	0.233333	0.344374	0.7	0.0	0.272374	0.232174	1.0	flank_hit	yes	yes	0.16143497757847533	0.18181818181818182
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8984193-8984856__chr3L_9024467-9024945	chr3L:8984193-8984856	chr3L:9024467-9024945	name	108	111	192	320	89	130	0.684615	0.735389	0.824074	0.0	0.585938	0.562953	1.0	neither	yes	yes	0.39295392953929537	0.41379310344827586
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8994546-8994994__chr3L_9010490-9010720	chr3L:8994546-8994994	chr3L:9010490-9010720	name	40	90	65	163	17	113	0.150442	0.199164	0.425	0.0	0.184211	0.129785	1.0	neither	yes	yes	0.09523809523809523	0.05263157894736842
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_9010205-9010405__chr3L_9010490-9010720	chr3L:9010205-9010405	chr3L:9010490-9010720	name	76	90	123	163	60	106	0.566038	0.589436	0.789474	0.0	0.573427	0.441155	1.0	neither	yes	yes	0.391304347826087	0.1875
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8984193-8984856__chr3L_9010205-9010405	chr3L:8984193-8984856	chr3L:9010205-9010405	name	108	76	192	123	68	116	0.586207	0.731034	0.894737	0.0	0.653968	0.51225	1.0	neither	yes	yes	0.4675925925925926	0.3157894736842105
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8994546-8994994__chr3L_9023155-9023452	chr3L:8994546-8994994	chr3L:9023155-9023452	name	40	57	65	78	17	80	0.2125	0.250873	0.425	0.0	0.251748	0.182646	1.0	neither	yes	yes	0.14173228346456693	0.08333333333333333
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_9010490-9010720__chr3L_9024467-9024945	chr3L:9010490-9010720	chr3L:9024467-9024945	name	90	111	163	320	80	121	0.661157	0.740175	0.888889	0.0	0.596273	0.562037	1.0	neither	yes	yes	0.4139941690962099	0.4
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_9010490-9010720__chr3L_9023155-9023452	chr3L:9010490-9010720	chr3L:9023155-9023452	name	90	57	163	78	35	112	0.3125	0.427815	0.614035	0.0	0.340249	0.292694	1.0	neither	yes	yes	0.20297029702970298	0.26666666666666666
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8994546-8994994__chr3L_9024467-9024945	chr3L:8994546-8994994	chr3L:9024467-9024945	name	40	111	65	320	24	127	0.188976	0.229027	0.6	0.0	0.166234	0.162628	1.0	neither	yes	yes	0.09014084507042254	0.20833333333333334
FBgn0035956_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035956_Spearman/chr3L_8984193-8984856__chr3L_9010490-9010720	chr3L:8984193-8984856	chr3L:9010490-9010720	name	108	90	192	163	73	125	0.584	0.576522	0.811111	0.0	0.585915	0.456215	1.0	neither	yes	yes	0.38910505836575876	0.18518518518518517
Abd-B	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858	chr3R:16891893-16892448	chr3R:16921371-16921858	name	72	62	153	126	33	101	0.326733	0.630502	0.532258	0.0	0.473118	0.361193	1.0	neither	yes	yes	0.29493087557603687	0.47058823529411764
Abd-B	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502	chr3R:16891893-16892448	chr3R:16901949-16902502	name	72	92	153	185	46	118	0.389831	0.625111	0.638889	0.0	0.508876	0.366176	1.0	neither	yes	yes	0.3229571984435798	0.29411764705882354
Abd-B	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16901949-16902502__chr3R_16920234-16921056	chr3R:16901949-16902502	chr3R:16920234-16921056	name	92	126	185	399	81	137	0.591241	0.632958	0.880435	0.0	0.476027	0.482649	1.0	neither	yes	yes	0.29933481152993346	0.17647058823529413
Abd-B	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16920234-16921056__chr3R_16921371-16921858	chr3R:16920234-16921056	chr3R:16921371-16921858	name	126	62	399	126	50	138	0.362319	0.546072	0.806452	0.0	0.350476	0.331563	1.0	neither	yes	yes	0.20594965675057209	0.22857142857142856
Abd-B	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16901949-16902502__chr3R_16921371-16921858	chr3R:16901949-16902502	chr3R:16921371-16921858	name	92	62	185	126	40	114	0.350877	0.686234	0.645161	0.0	0.514469	0.400788	1.0	neither	yes	yes	0.3206751054852321	0.2777777777777778
Abd-B	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056	chr3R:16891893-16892448	chr3R:16920234-16921056	name	72	126	153	399	65	133	0.488722	0.62759	0.902778	0.0	0.434783	0.435606	1.0	neither	yes	yes	0.2735632183908046	0.2727272727272727
FBgn0026761_Spearman	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0026761_Spearman/chr2R_6219294-6219494__chr2R_6256635-6257061	chr2R:6219294-6219494	chr2R:6256635-6257061	name	26	82	62	148	14	94	0.148936	0.298244	0.538462	0.0	0.238095	0.188824	1.0	neither	yes	yes	0.13368983957219252	0.3157894736842105
FBgn0016120_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016120_sm/chr3R_19092386-19092991__chr3R_19107971-19108412	chr3R:19092386-19092991	chr3R:19107971-19108412	name	79	102	198	190	61	120	0.508333	0.546577	0.772152	0.0	0.469072	0.400504	1.0	enhancer_hit	yes	yes	0.3	0.3225806451612903
FBgn0016120_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016120_sm/chr3R_19091653-19091872__chr3R_19107971-19108412	chr3R:19091653-19091872	chr3R:19107971-19108412	name	33	102	58	190	20	115	0.173913	0.311808	0.606061	0.0	0.217742	0.180026	1.0	neither	yes	yes	0.1111111111111111	0.18181818181818182
FBgn0016120_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016120_sm/chr3R_19091653-19091872__chr3R_19092386-19092991	chr3R:19091653-19091872	chr3R:19092386-19092991	name	33	79	58	198	25	87	0.287356	0.595737	0.757576	0.0	0.34375	0.364663	1.0	neither	yes	yes	0.2	0.34782608695652173
FBgn0035144_vm_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035144_vm_sm/chr3L_575897-576292__chr3L_593649-593985	chr3L:575897-576292	chr3L:593649-593985	name	78	55	147	74	33	100	0.33	0.337823	0.6	0.0	0.334842	0.266605	1.0	neither	yes	yes	0.1925133689839572	0.4
FBgn0035144_vm_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035144_vm_sm/chr3L_519120-519320__chr3L_593649-593985	chr3L:519120-519320	chr3L:593649-593985	name	92	55	131	74	33	114	0.289474	0.339597	0.6	0.0	0.35122	0.238639	1.0	neither	yes	yes	0.20348837209302326	0.4
FBgn0035144_vm_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0035144_vm_sm/chr3L_519120-519320__chr3L_575897-576292	chr3L:519120-519320	chr3L:575897-576292	name	92	78	131	147	55	115	0.478261	0.403323	0.705128	0.0	0.446043	0.374453	1.0	neither	yes	yes	0.2785388127853881	0.2727272727272727
FBgn0028734_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0028734_sm/chr3R_10106432-10106719__chr3R_10108491-10108933	chr3R:10106432-10106719	chr3R:10108491-10108933	name	89	70	269	112	44	115	0.382609	0.428941	0.628571	0.0	0.304462	0.293973	1.0	neither	yes	yes	0.17484662576687116	0.09090909090909091
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14238009-14238297__chr2L_14248855-14249055	chr2L:14238009-14238297	chr2L:14248855-14249055	name	98	34	182	46	24	108	0.222222	0.416679	0.705882	0.0	0.263158	0.239836	1.0	neither	yes	yes	0.12745098039215685	0.07142857142857142
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14211117-14211371__chr2L_14267350-14267653	chr2L:14211117-14211371	chr2L:14267350-14267653	name	41	64	55	99	21	84	0.25	0.512609	0.512195	0.0	0.350649	0.273862	1.0	neither	yes	yes	0.2	0.2857142857142857
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14238009-14238297__chr2L_14245654-14246036	chr2L:14238009-14238297	chr2L:14245654-14246036	name	98	58	182	94	38	118	0.322034	0.395944	0.655172	0.0	0.34058	0.249956	1.0	neither	yes	yes	0.19313304721030042	0.2222222222222222
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14211117-14211371__chr2L_14248855-14249055	chr2L:14211117-14211371	chr2L:14248855-14249055	name	41	34	55	46	14	61	0.229508	0.27645	0.411765	0.0	0.277228	0.196661	1.0	enhancer_hit	yes	yes	0.13186813186813187	0.2857142857142857
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14238009-14238297__chr2L_14267350-14267653	chr2L:14238009-14238297	chr2L:14267350-14267653	name	98	64	182	99	47	115	0.408696	0.486024	0.734375	0.0	0.384342	0.344325	1.0	neither	yes	yes	0.23580786026200873	0.2
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14211117-14211371__chr2L_14245654-14246036	chr2L:14211117-14211371	chr2L:14245654-14246036	name	41	58	55	94	20	79	0.253165	0.462967	0.487805	0.0	0.33557	0.252524	1.0	neither	yes	yes	0.208	0.3333333333333333
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14211117-14211371__chr2L_14238009-14238297	chr2L:14211117-14211371	chr2L:14238009-14238297	name	41	98	55	182	27	112	0.241071	0.359171	0.658537	0.0	0.253165	0.225325	1.0	neither	yes	yes	0.14354066985645933	0.23076923076923078
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14248855-14249055__chr2L_14267350-14267653	chr2L:14248855-14249055	chr2L:14267350-14267653	name	34	64	46	99	17	81	0.209877	0.412001	0.5	0.0	0.289655	0.252573	1.0	neither	yes	yes	0.176	0.3076923076923077
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14245654-14246036__chr2L_14267350-14267653	chr2L:14245654-14246036	chr2L:14267350-14267653	name	58	64	94	99	31	91	0.340659	0.689684	0.534483	0.0	0.476684	0.358199	1.0	neither	yes	yes	0.3	0.3333333333333333
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14230546-14231007__chr2L_14238009-14238297	chr2L:14230546-14231007	chr2L:14238009-14238297	name	79	98	152	182	56	121	0.46281	0.479004	0.708861	0.0	0.419162	0.354649	1.0	neither	yes	yes	0.2537313432835821	0.18518518518518517
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14211117-14211371__chr2L_14230546-14231007	chr2L:14211117-14211371	chr2L:14230546-14231007	name	41	79	55	152	21	99	0.212121	0.478549	0.512195	0.0	0.26087	0.238277	1.0	neither	yes	yes	0.14207650273224043	0.23809523809523808
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14230546-14231007__chr2L_14248855-14249055	chr2L:14230546-14231007	chr2L:14248855-14249055	name	79	34	152	46	26	87	0.298851	0.433037	0.764706	0.0	0.323232	0.324178	1.0	neither	yes	yes	0.19047619047619047	0.19047619047619047
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14230546-14231007__chr2L_14245654-14246036	chr2L:14230546-14231007	chr2L:14245654-14246036	name	79	58	152	94	42	95	0.442105	0.702406	0.724138	0.0	0.495935	0.421631	1.0	neither	yes	yes	0.3191489361702128	0.45454545454545453
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14230546-14231007__chr2L_14267350-14267653	chr2L:14230546-14231007	chr2L:14267350-14267653	name	79	64	152	99	39	104	0.375	0.732882	0.609375	0.0	0.501992	0.398724	1.0	neither	yes	yes	0.3177083333333333	0.4166666666666667
FBgn0016930_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0016930_vm/chr2L_14245654-14246036__chr2L_14248855-14249055	chr2L:14245654-14246036	chr2L:14248855-14249055	name	58	34	94	46	18	74	0.243243	0.389721	0.529412	0.0	0.314286	0.263598	1.0	neither	yes	yes	0.19327731092436976	0.36363636363636365
FBgn0005771_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0005771_vm/chr2L_14476624-14476824__chr2L_14527451-14527987	chr2L:14476624-14476824	chr2L:14527451-14527987	name	46	92	55	163	28	110	0.254545	0.446433	0.608696	0.0	0.311927	0.263235	1.0	neither	yes	yes	0.164021164021164	0.0625
FBgn0005771_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0005771_vm/chr2L_14527451-14527987__chr2L_14537085-14537454	chr2L:14527451-14527987	chr2L:14537085-14537454	name	92	106	163	189	73	125	0.584	0.465324	0.793478	0.0	0.488636	0.431603	1.0	neither	yes	yes	0.3014705882352941	0.2857142857142857
FBgn0005771_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0005771_vm/chr2L_14476624-14476824__chr2L_14537085-14537454	chr2L:14476624-14476824	chr2L:14537085-14537454	name	46	106	55	189	31	121	0.256198	0.307569	0.673913	0.0	0.262295	0.221042	1.0	neither	yes	yes	0.15492957746478872	0.041666666666666664
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16813228-16813680__chr3R_16814262-16814590	chr3R:16813228-16813680	chr3R:16814262-16814590	name	97	34	250	57	23	108	0.212963	0.536684	0.676471	0.0	0.228013	0.2744	1.0	neither	yes	yes	0.12363636363636364	0.23529411764705882
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16737098-16737410__chr3R_16904976-16905213	chr3R:16737098-16737410	chr3R:16904976-16905213	name	51	42	78	78	21	72	0.291667	0.570588	0.5	0.0	0.397436	0.30478	1.0	neither	yes	yes	0.234375	0.3333333333333333
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16814262-16814590__chr3R_16904976-16905213	chr3R:16814262-16814590	chr3R:16904976-16905213	name	34	42	57	78	13	63	0.206349	0.563786	0.382353	0.0	0.340741	0.254081	1.0	enhancer_hit	yes	yes	0.20175438596491227	0.3
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16813228-16813680__chr3R_16841943-16842333	chr3R:16813228-16813680	chr3R:16841943-16842333	name	97	113	250	249	78	132	0.590909	0.430655	0.804124	0.0	0.448898	0.419787	1.0	enhancer_hit	yes	yes	0.2879177377892031	0.15625
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16841943-16842333__chr3R_16904976-16905213	chr3R:16841943-16842333	chr3R:16904976-16905213	name	113	42	249	78	29	126	0.230159	0.214861	0.690476	0.0	0.201835	0.187924	1.0	neither	yes	yes	0.11148648648648649	0.07407407407407407
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16814262-16814590__chr3R_16841943-16842333	chr3R:16814262-16814590	chr3R:16841943-16842333	name	34	113	57	249	22	125	0.176	0.31816	0.647059	0.0	0.202614	0.194239	1.0	neither	yes	yes	0.11191335740072202	0.16666666666666666
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16737098-16737410__chr3R_16814262-16814590	chr3R:16737098-16737410	chr3R:16814262-16814590	name	51	34	78	57	13	72	0.180556	0.446488	0.382353	0.0	0.296296	0.203376	1.0	neither	yes	yes	0.14166666666666666	0.07142857142857142
FBgn0000014_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16813228-16813680__chr3R_16904976-16905213	chr3R:16813228-16813680	chr3R:16904976-16905213	name	97	42	250	78	26	113	0.230088	0.625086	0.619048	0.0	0.310976	0.317594	1.0	neither	yes	yes	0.1827956989247312	0.29411764705882354
